# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
0,1199.878296,1194.987305,1199.472534
1,1206.254395,1200.969238,1203.143188
2,1209.184814,1205.438232,1206.492065
3,1207.525513,1207.341431,1206.453735
4,1200.991211,1203.170166,1200.472534
5,1198.653442,1197.670166,1198.125977
6,1194.985474,1193.937378,1191.880981
7,1185.373535,1183.585327,1185.214966
8,1179.737305,1181.383545,1180.278198
9,1179.559814,1179.201660,1178.564453
10,1183.857544,1186.750122,1184.625732
11,1193.083496,1193.411255,1193.106812
12,1203.459595,1206.134155,1203.644531
13,1198.559814,1199.241699,1201.015625
14,1196.598755,1200.106567,1199.880615
15,1202.415771,1205.563599,1204.318237
16,1205.080566,1208.713501,1208.183472
17,1211.891724,1212.482178,1211.881592
18,1205.977051,1213.111816,1207.254639
19,1202.714966,1208.686646,1205.024780
20,1201.038574,1211.552734,1207.863647
21,1203.274780,1204.840454,1206.155396
22,1202.551025,1201.165527,1204.499268
23,1195.373901,1197.241821,1198.643066
24,1198.524780,1198.740234,1199.267822
25,1201.291138,1208.939575,1205.698364
26,1213.064819,1220.294312,1216.433228
27,1214.276245,1222.883423,1217.767944
28,1210.060181,1215.615601,1211.379761
29,1205.568115,1215.413818,1210.688354
30,1202.792969,1215.430664,1210.720581
31,1208.024048,1217.101318,1209.669189
32,1211.756958,1228.380005,1219.062012
33,1212.194580,1226.820801,1221.835205
34,1212.071411,1229.206421,1221.549683
35,1207.163940,1231.000000,1224.296509
36,1210.401978,1233.942261,1228.744019
37,1196.003662,1221.806030,1217.013062
38,1185.202271,1205.638550,1204.486938
39,1177.548096,1197.083862,1196.435547
40,1169.343262,1182.289062,1183.562134
41,1177.559082,1184.848755,1188.736328
42,1179.345093,1178.019653,1181.938354
43,1191.884521,1193.222778,1195.260986
44,1198.169434,1201.999512,1202.003174
45,1201.179321,1205.648438,1203.509888
46,1216.281738,1222.730713,1220.564941
47,1227.660400,1234.331543,1229.457153
48,1218.007690,1223.438721,1219.976318
49,1219.576538,1221.300415,1219.131714
50,1234.699707,1238.745972,1238.185669
51,1242.656006,1243.917603,1244.371216
52,1244.823975,1248.505005,1246.186890
53,1244.298096,1245.686646,1243.068604
54,1241.152344,1240.807861,1238.340820
55,1248.928223,1250.096313,1248.760498
56,1251.991211,1254.106201,1252.975952
57,1241.598755,1241.320435,1242.289062
58,1228.962158,1232.214722,1235.566650
59,1216.168701,1227.102661,1226.432251
60,1215.780273,1223.445679,1221.881592
61,1215.304688,1219.603394,1218.840454
62,1227.524414,1231.280640,1229.837769
63,1227.978882,1234.697510,1230.441895
64,1228.280273,1235.590576,1232.280640
65,1231.617676,1239.455444,1236.491821
66,1230.989380,1237.832397,1237.658203
67,1235.181885,1240.014771,1239.119263
68,1227.586426,1228.105957,1229.387207
69,1223.251099,1226.227783,1226.640625
70,1215.443481,1218.829834,1221.346313
71,1222.433350,1224.443359,1225.673096
72,1226.300659,1227.607300,1230.725220
73,1226.709961,1225.415771,1226.790405
74,1232.145020,1233.111450,1233.584473
75,1241.096191,1240.122437,1239.994385
76,1260.537842,1264.619385,1261.375122
77,1265.853149,1271.666016,1267.141968
78,1265.991211,1275.910767,1269.703735
79,1265.095093,1272.418335,1266.625488
80,1259.694946,1272.841431,1266.822510
81,1256.244141,1267.316772,1263.488037
82,1249.350586,1256.929932,1256.836914
83,1241.233643,1247.249023,1248.637695
84,1231.792236,1234.305908,1239.031860
85,1227.188721,1231.264771,1235.047974
86,1237.275146,1242.343018,1243.451538
87,1238.520386,1246.109741,1244.232300
88,1234.068481,1249.549438,1246.329834
89,1223.473022,1238.257202,1236.184448
90,1222.432251,1232.366943,1231.812866
91,1205.940552,1213.491455,1216.594971
92,1206.971191,1214.889160,1216.441772
93,1195.377563,1205.826538,1203.898560
94,1185.777710,1193.810181,1191.043823
95,1181.663208,1180.754517,1181.574707
96,1194.046631,1189.750488,1189.357178
97,1202.526245,1193.826660,1193.510742
98,1203.754761,1188.937378,1191.790527
99,1207.542969,1207.527588,1204.095337
100,1201.746704,1218.729858,1212.538940
101,1197.236938,1217.177246,1213.012695
102,1185.533203,1202.321533,1202.167847
103,1184.522583,1196.703247,1195.323486
104,1181.274414,1188.813354,1185.463623
105,1178.721191,1192.603882,1186.976685
106,1183.146484,1193.096924,1189.864014
107,1184.291138,1187.153931,1188.196899
108,1188.027710,1183.252075,1186.888306
109,1191.247437,1185.072632,1186.999634
110,1199.760986,1193.350708,1193.671997
111,1208.947876,1202.296387,1202.410889
112,1208.181885,1205.350830,1205.899536
113,1201.725952,1212.093872,1207.319946
114,1190.171265,1197.979736,1196.958130
115,1182.414673,1189.932739,1189.688232
116,1171.634888,1170.393188,1173.735840
117,1176.793701,1171.757935,1177.238403
118,1177.807983,1173.044189,1176.132080
119,1173.659302,1170.911377,1173.790405
120,1172.427856,1170.601074,1171.573120
121,1173.078735,1169.159180,1171.895630
122,1165.304688,1159.705200,1164.391968
123,1154.347656,1147.879028,1154.059326
124,1146.508789,1139.249023,1145.540039
125,1138.312378,1134.113159,1136.759644
126,1152.130493,1146.380615,1150.725098
127,1157.100220,1150.894897,1158.328735
128,1158.610474,1157.768188,1160.173462
129,1163.137451,1163.872681,1164.415649
130,1170.882690,1170.764038,1173.443115
131,1175.123535,1172.185059,1175.087036
132,1183.393555,1176.824463,1180.350586
133,1179.997803,1173.624634,1179.959595
134,1182.572144,1180.170898,1183.160400
135,1180.842529,1175.477173,1181.044556
136,1192.791870,1186.890747,1193.625732
137,1196.844360,1191.419922,1193.524170
138,1199.157471,1189.986206,1196.337280
139,1201.154541,1195.673706,1198.599121
140,1201.219727,1199.238892,1200.898682
141,1202.137451,1200.916748,1203.966797
142,1194.643188,1191.452515,1196.361206
143,1193.710693,1185.076050,1192.612427
144,1193.715332,1183.142822,1188.062256
145,1208.890259,1198.355103,1200.898193
146,1226.868408,1226.620361,1226.915771
147,1231.005127,1234.108765,1230.302979
148,1234.654541,1238.754150,1232.866577
149,1223.101318,1222.507202,1220.709351
150,1212.642090,1209.066895,1209.207397
151,1207.992676,1199.521484,1206.456421
152,1214.391724,1202.610107,1210.417480
153,1215.190552,1205.138062,1212.037476
154,1213.554321,1205.639160,1209.807861
155,1206.553955,1197.846558,1203.569214
156,1203.853882,1199.249512,1203.488281
157,1195.572876,1189.945923,1194.802734
158,1188.013062,1185.349976,1189.456421
159,1177.780640,1180.222046,1182.056641
160,1172.877563,1169.829834,1175.181152
161,1181.348755,1177.593994,1182.163452
162,1184.037231,1183.912476,1184.786011
163,1184.022583,1186.002686,1184.994751
164,1183.771484,1182.339111,1183.537354
165,1184.868774,1184.973022,1184.219360
166,1185.987305,1186.408691,1187.403931
167,1183.545898,1183.398315,1184.257324
168,1183.283936,1182.270630,1183.161621
169,1175.711060,1176.584595,1176.538940
170,1185.785034,1184.997925,1186.111206
171,1188.506958,1188.977295,1188.247314
172,1198.146851,1196.310669,1198.955688
173,1194.473389,1193.891357,1197.037476
174,1193.974487,1191.738403,1196.855591
175,1198.473389,1196.616699,1198.617188
176,1200.015259,1202.477783,1202.491333
177,1208.666138,1208.426392,1209.008423
178,1200.450439,1200.172974,1202.629395
179,1196.582397,1191.350464,1195.722656
180,1192.679688,1187.670044,1190.731079
181,1202.341064,1197.972412,1201.657227
182,1196.661865,1192.228394,1196.077148
183,1191.954468,1188.822144,1193.639160
184,1196.514526,1195.130249,1196.283203
185,1203.116943,1198.901123,1202.408691
186,1207.377197,1204.307739,1209.331909
187,1206.705200,1208.239258,1209.614746
188,1205.981079,1211.326416,1212.733521
189,1198.998901,1204.873169,1205.459595
190,1198.378296,1206.489380,1206.580322
191,1206.504761,1212.452148,1213.533081
192,1209.806152,1217.871338,1215.931885
193,1214.544434,1221.333008,1217.412842
194,1204.696045,1214.218140,1209.214600
195,1200.377563,1207.254517,1203.018066
196,1200.910400,1206.610718,1202.878296
197,1196.628296,1201.466553,1199.144043
198,1188.062378,1192.377930,1191.278931
199,1178.245972,1178.778809,1181.311646
200,1161.680054,1160.328613,1161.606689
201,1165.010986,1161.562622,1165.502441
202,1159.401978,1153.565674,1157.907837
203,1152.967529,1146.182373,1152.959717
204,1150.483276,1143.312256,1149.629028
205,1147.982910,1145.368652,1148.669678
206,1153.203735,1154.433716,1158.234741
207,1158.385986,1155.827271,1160.265747
208,1159.526245,1155.522827,1160.838623
209,1154.109375,1151.700439,1155.838379
210,1156.625732,1150.001099,1157.259644
211,1168.795898,1163.293945,1167.922485
212,1174.287231,1169.229736,1174.598267
213,1178.653076,1173.497070,1177.407227
214,1179.893188,1176.705811,1179.741211
215,1181.293335,1179.601440,1180.859863
216,1183.751831,1182.166504,1183.876221
217,1182.847290,1180.453125,1182.752563
218,1175.082764,1175.708252,1176.501587
219,1170.159302,1166.004272,1169.362915
220,1161.899048,1156.109253,1160.561768
221,1164.916870,1157.046265,1164.093750
222,1176.239380,1168.473999,1173.871826
223,1172.491577,1166.674316,1170.336548
224,1181.680420,1176.174194,1180.328369
225,1182.758057,1179.881348,1181.845093
226,1194.233643,1190.962891,1193.470093
227,1196.713135,1194.049316,1196.688232
228,1189.653809,1189.828979,1192.264893
229,1187.618408,1181.304810,1187.757568
230,1185.071777,1183.817017,1187.422607
231,1187.254395,1185.118286,1189.539185
232,1190.780640,1189.583984,1192.859375
233,1187.490112,1188.989380,1192.128296
234,1187.106812,1190.044067,1193.090576
235,1186.503662,1193.068604,1192.669067
236,1192.345093,1199.091553,1197.785889
237,1201.497070,1206.238281,1205.353638
238,1197.119141,1200.988892,1200.436157
239,1186.200073,1188.407837,1187.812012
240,1187.446411,1189.393799,1188.347412
241,1191.562012,1198.191772,1194.529785
242,1174.247070,1171.586914,1174.088257
243,1170.893555,1167.210693,1172.584106
244,1166.538940,1165.986694,1166.949707
245,1151.993774,1143.776123,1151.521118
246,1152.422363,1139.667236,1148.135132
247,1156.532471,1148.354858,1154.887085
248,1162.586792,1152.234131,1160.346313
249,1155.521484,1145.850220,1153.791016
250,1159.773682,1145.651611,1156.489014
251,1167.312378,1150.646362,1161.810791
252,1174.813354,1163.668579,1169.331787
253,1174.170898,1162.830933,1170.681152
254,1168.797729,1154.503174,1163.005615
255,1168.604980,1157.411255,1164.207031
256,1175.705933,1173.815430,1175.986938
257,1185.511719,1185.830322,1187.361938
258,1194.183716,1195.555664,1195.553589
259,1196.114014,1200.234619,1197.048462
260,1202.504395,1208.876953,1204.561768
261,1212.556885,1218.021240,1212.294312
262,1221.106812,1228.805786,1222.016968
263,1227.665405,1232.921997,1228.493652
264,1221.684448,1225.471558,1219.388062
265,1216.135254,1217.527710,1212.988281
266,1226.666504,1227.714478,1223.746460
267,1226.165405,1223.790039,1220.768311
268,1219.463867,1218.432007,1215.784546
269,1206.274414,1200.789917,1200.175415
270,1207.638428,1208.087036,1209.717163
271,1203.387085,1200.786865,1203.208740
272,1201.463867,1196.951782,1201.061279
273,1207.396484,1212.620728,1210.380615
274,1198.367676,1200.606934,1198.694336
275,1187.119141,1191.363525,1191.867676
276,1187.754395,1191.921265,1191.270996
277,1192.656006,1203.427612,1199.651733
278,1176.456299,1173.912598,1175.650269
279,1186.562378,1192.230103,1188.517822
280,1187.933716,1192.220459,1190.199097
281,1181.893555,1181.374634,1180.354858
282,1183.525146,1182.248535,1182.894409
283,1189.170532,1185.411865,1187.100952
284,1194.341064,1196.557495,1197.878540
285,1201.967529,1205.688965,1205.539307
286,1210.624634,1213.075806,1209.623291
287,1214.329102,1215.906250,1213.077148
288,1211.128662,1214.306519,1216.555542
289,1207.138428,1205.500000,1204.073608
290,1211.676025,1217.594482,1215.941284
291,1214.692017,1218.341675,1215.209351
292,1211.320312,1218.926025,1216.129272
293,1210.358276,1213.021729,1211.559570
294,1211.899048,1217.011108,1217.423462
295,1213.010986,1220.694214,1220.234009
296,1216.166504,1226.324097,1225.335327
297,1216.226318,1227.632446,1225.569946
298,1207.514526,1218.543579,1219.393677
299,1198.600952,1206.624146,1208.120605
300,1198.466431,1202.627808,1204.537231
301,1200.801392,1205.993042,1209.880615
302,1201.756226,1203.171509,1207.013428
303,1204.139526,1207.769165,1212.881958
304,1207.923096,1214.364502,1216.939209
305,1203.476318,1211.617676,1212.430176
306,1205.937622,1215.060181,1215.815063
307,1205.648315,1215.566772,1214.601685
308,1212.965698,1222.260986,1219.326538
309,1216.357910,1219.339355,1221.521851
310,1215.673828,1217.576660,1218.483032
311,1224.371338,1228.768311,1228.076904
312,1240.039673,1242.494385,1241.427979
313,1237.335327,1238.748047,1239.544800
314,1235.189087,1238.738770,1235.716797
315,1227.810913,1232.081177,1228.702637
316,1226.451904,1225.441650,1228.126221
317,1224.319946,1223.882568,1226.350586
318,1216.407471,1219.254272,1220.682861
319,1200.981445,1197.180176,1202.561401
320,1192.696045,1190.018066,1194.180054
321,1190.000732,1192.848877,1194.130249
322,1198.769653,1198.718262,1199.931396
323,1200.037231,1195.606323,1198.567017
324,1189.630127,1184.718750,1187.633789
325,1177.267090,1171.167480,1176.472412
326,1195.477783,1190.449463,1191.738892
327,1194.930054,1187.379150,1190.933838
328,1203.708496,1197.613647,1200.539062
329,1205.114746,1200.519043,1203.422485
330,1209.050659,1207.439087,1208.826172
331,1210.740479,1209.122925,1212.344238
332,1218.614014,1220.410034,1220.200684
333,1219.250732,1216.460571,1216.136719
334,1218.401611,1220.282837,1219.481201
335,1214.805054,1217.542969,1216.719116
336,1219.135986,1223.898804,1222.548584
337,1219.317017,1225.147583,1223.567993
338,1215.316284,1220.274902,1221.303711
339,1207.813721,1209.804321,1211.820190
340,1203.097656,1201.932129,1206.477539
341,1191.863281,1191.816406,1196.839233
342,1195.645020,1202.356689,1204.666016
343,1195.149414,1202.597168,1204.293091
344,1185.000366,1196.014771,1195.690796
345,1179.880493,1194.759644,1196.264404
346,1181.810913,1194.262817,1195.591064
347,1189.786133,1191.987793,1192.560181
348,1193.770752,1195.560181,1199.457397
349,1194.654541,1193.332764,1193.937134
350,1201.884521,1203.030762,1202.460571
351,1196.131226,1197.465210,1197.222168
352,1204.038574,1207.724121,1205.664185
353,1203.910767,1205.231079,1205.341431
354,1199.792236,1197.995728,1199.172852
355,1198.911865,1204.820679,1203.234741
356,1199.993774,1205.609375,1205.032104
357,1199.044800,1200.029663,1201.213623
358,1200.392822,1203.337402,1204.784668
359,1191.728882,1191.984131,1193.633179
360,1188.727417,1187.586304,1188.931396
361,1191.855713,1190.642578,1191.158325
362,1193.569946,1195.500854,1196.010986
363,1190.250366,1188.381226,1191.391846
364,1188.586792,1186.358398,1188.619751
365,1188.925659,1185.580566,1188.135498
366,1197.637695,1193.240967,1197.332886
367,1199.785767,1195.486206,1198.855469
368,1200.488647,1194.730591,1198.192749
369,1201.637695,1197.379272,1202.892822
370,1201.807617,1195.681885,1201.217896
371,1209.091431,1207.025513,1209.049927
372,1220.254761,1223.968262,1222.009521
373,1224.145386,1226.817261,1225.033447
374,1222.608276,1227.345337,1223.713867
375,1215.490479,1216.952271,1215.261230
376,1208.250366,1205.137695,1206.512207
377,1209.166138,1201.095581,1205.443359
378,1203.737549,1195.804810,1200.607666
379,1201.410400,1193.925171,1199.403442
380,1198.366943,1196.741699,1198.267456
381,1205.955200,1205.345215,1205.631714
382,1203.427490,1201.529175,1202.794067
383,1197.032471,1197.458984,1196.880981
384,1194.271118,1198.933960,1197.518433
385,1180.668335,1182.346558,1181.641846
386,1184.617310,1186.279297,1187.829346
387,1188.076904,1188.104736,1188.590454
388,1186.967896,1186.291260,1185.349121
389,1188.213135,1189.338135,1188.170776
390,1185.594360,1185.013794,1186.023682
391,1189.803223,1188.201782,1189.159424
392,1191.315186,1190.047974,1189.112305
393,1196.166870,1194.414673,1195.047729
394,1187.018555,1184.277344,1188.849365
395,1197.380493,1196.480103,1197.374023
396,1181.445679,1176.940552,1180.223999
397,1194.200806,1184.507935,1190.456299
398,1197.759521,1190.816650,1193.917847
399,1181.412842,1176.922485,1179.880615
400,1186.874634,1183.938599,1185.637085
401,1190.836426,1187.578735,1188.411011
402,1202.142456,1199.264404,1203.305786
403,1219.708130,1217.075928,1218.620850
404,1217.432251,1223.638184,1222.709839
405,1221.851318,1228.824951,1227.291260
406,1225.306519,1227.796631,1227.903687
407,1220.334961,1224.746826,1225.265015
408,1223.071411,1225.698975,1224.849365
409,1216.500000,1222.917847,1219.454712
410,1212.995972,1215.459839,1216.221436
411,1215.457031,1217.174438,1216.067505
412,1216.781372,1212.860596,1215.009155
413,1213.581299,1210.378540,1210.276001
414,1212.792969,1206.998901,1206.738159
415,1202.906738,1194.136841,1198.487671
416,1211.969727,1201.287109,1202.604614
417,1223.497437,1214.435059,1215.207764
418,1227.135620,1223.896973,1219.608521
419,1224.962158,1214.901978,1219.875488
420,1218.789307,1209.767090,1211.372192
421,1217.883423,1217.333984,1213.518188
422,1219.395752,1222.690674,1222.451660
423,1210.040771,1209.005859,1211.636108
424,1201.456299,1200.563599,1202.171509
425,1196.342163,1192.753174,1196.037842
426,1194.890625,1186.310669,1192.641602
427,1193.963867,1189.479614,1195.932495
428,1190.178589,1190.563721,1193.765381
429,1195.284302,1195.614624,1197.860596
430,1204.403809,1205.088623,1208.546143
431,1203.683716,1207.243896,1208.114868
432,1207.040771,1208.820068,1209.350220
433,1212.527710,1214.207031,1213.193726
434,1208.146118,1210.211060,1209.864014
435,1202.322876,1199.731567,1197.137085
436,1202.243774,1202.314697,1199.195068
437,1203.522949,1205.826294,1205.139526
438,1210.787476,1213.301880,1210.514282
439,1220.552490,1223.005249,1217.564087
440,1218.881958,1226.209961,1218.476318
441,1218.494873,1219.734253,1213.788452
442,1220.050659,1227.302002,1218.695923
443,1210.623535,1218.504761,1211.729004
444,1203.915771,1206.755127,1201.236328
445,1198.788574,1201.169678,1196.868164
446,1200.339233,1204.790039,1199.244385
447,1197.598022,1202.158691,1199.053101
448,1197.884888,1200.181763,1200.092773
449,1195.397949,1196.360352,1193.852295
450,1191.840332,1196.332397,1193.271362
451,1190.682251,1192.785156,1192.932373
452,1194.303223,1197.573730,1192.735107
453,1193.423828,1191.212769,1190.780640
454,1192.772217,1191.259888,1191.645752
455,1186.649048,1187.337402,1184.961792
456,1186.548096,1186.314575,1186.001465
457,1192.614746,1192.798584,1189.879028
458,1195.442749,1192.364990,1190.599854
459,1193.072510,1184.195435,1183.046265
460,1187.883789,1172.561523,1176.153198
461,1178.649048,1164.031128,1167.812622
462,1181.596924,1167.623291,1169.446533
463,1181.916870,1165.980835,1170.376221
464,1187.856079,1179.396484,1181.830322
465,1190.345459,1186.473267,1187.067871
466,1196.473755,1190.874023,1191.643433
467,1200.284668,1187.707886,1193.720337
468,1200.538208,1188.377075,1191.359985
469,1202.222290,1188.748779,1191.608643
470,1204.659302,1187.048218,1192.559326
471,1206.880493,1194.678101,1193.647583
472,1206.735474,1202.947754,1199.957275
473,1207.399414,1198.484863,1198.746094
474,1206.718994,1197.573486,1197.163574
475,1200.756592,1189.475342,1191.159302
476,1197.227051,1184.256104,1186.474731
477,1207.611572,1193.634644,1196.154297
478,1202.854614,1188.959717,1191.574097
479,1198.894653,1187.870728,1191.188843
480,1190.190186,1187.515381,1189.247559
481,1192.448242,1189.791504,1192.481934
482,1195.847290,1195.704468,1198.732422
483,1197.243408,1197.872437,1199.690430
484,1186.494873,1188.277588,1190.557373
485,1185.885986,1189.959595,1189.931030
486,1182.391357,1180.369751,1184.686401
487,1179.154175,1176.512939,1180.041138
488,1186.085693,1184.485107,1186.033936
489,1179.696777,1177.102417,1179.445679
490,1181.990479,1179.498169,1182.005005
491,1191.960693,1192.749023,1193.310181
492,1205.877197,1207.537231,1205.302490
493,1216.644287,1223.105591,1217.579224
494,1215.328369,1223.470337,1218.019409
495,1213.634521,1217.114014,1213.401245
496,1212.416504,1218.194946,1211.991089
497,1214.720093,1225.279175,1218.897217
498,1216.211792,1223.992554,1218.612793
499,1205.936646,1212.805542,1207.550293
500,1196.255493,1199.823242,1196.708984
501,1188.439453,1189.411499,1189.036133
502,1194.043335,1194.114746,1192.182251
503,1194.735474,1196.369751,1194.198608
504,1190.234009,1189.956421,1190.321655
505,1189.979248,1191.789795,1189.128052
506,1189.766357,1198.800903,1192.590576
507,1193.027710,1200.637085,1196.750488
508,1194.735107,1203.094482,1198.485840
509,1191.267456,1196.295654,1193.182617
510,1195.613647,1204.752808,1199.979492
511,1199.028442,1210.872192,1202.257324
512,1205.697510,1215.858398,1208.967773
513,1211.302124,1219.317261,1213.484619
514,1200.299561,1208.269775,1201.605469
515,1197.661865,1204.198853,1199.315918
516,1189.303955,1194.330688,1190.750488
517,1189.910767,1196.738892,1190.284424
518,1187.271118,1189.453491,1186.745605
519,1183.770752,1181.368042,1180.506470
520,1172.459229,1169.779785,1170.397827
521,1170.487305,1165.998413,1164.044800
522,1168.934082,1168.688232,1166.315430
523,1165.784668,1165.095459,1163.445068
524,1171.709961,1170.634644,1169.940918
525,1169.802124,1169.287231,1170.348145
526,1174.507690,1175.642578,1176.602661
527,1183.429688,1182.913574,1183.883179
528,1195.446777,1201.084961,1200.176514
529,1190.282837,1189.746582,1188.081665
530,1188.128662,1187.877441,1188.330933
531,1181.181885,1182.870483,1184.828003
532,1176.259155,1181.125977,1182.981201
533,1176.055054,1179.701172,1184.086182
534,1167.958862,1169.698364,1176.196655
535,1158.274414,1156.074951,1162.979858
536,1166.668335,1170.117676,1170.091309
537,1173.340332,1177.514648,1176.979858
538,1172.899048,1178.964478,1179.025146
539,1167.158203,1173.026001,1172.058716
540,1160.112305,1165.203613,1163.277100
541,1153.492676,1157.300781,1155.553589
542,1155.632690,1152.743042,1155.381714
543,1160.550293,1160.766602,1162.761108
544,1165.767822,1164.376709,1164.028320
545,1162.195679,1161.779419,1163.219238
546,1162.116577,1162.829834,1161.929565
547,1169.619141,1173.971924,1169.786865
548,1180.859741,1184.328613,1179.610840
549,1179.001831,1182.301270,1179.389404
550,1180.808716,1183.581543,1180.445190
551,1180.794434,1180.028564,1180.678101
