frame_index,actual_frame_number,centroid_x,centroid_y,displacement_x,displacement_y,displacement_magnitude
0,-1144,310.98185594053996,337.76751557547277,0.0,0.0,0.0
1,-1143,311.53752200704224,336.9493838028169,0.5556660665022832,-0.8181317726558746,0.9889915949547617
2,-1142,310.80899888706347,335.42349886056496,-0.17285705347649127,-2.3440167149078093,2.350381654264637
3,-1141,310.89841054358277,337.54256462469596,-0.08344539695718822,-0.22495095077681526,0.2399292906852681
4,-1140,309.2083403208676,337.546648778579,-1.7735156196723665,-0.22086679689374478,1.7872156543607045
5,-1139,309.24643068800174,335.7021712192231,-1.7354252525382208,-2.065344356249682,2.6976560412772717
6,-1138,308.3264135482109,336.19699535646,-2.655442392329064,-1.570520219012792,3.0851107042221826
7,-1137,308.4282686300759,336.928547523427,-2.5535873104640814,-0.8389680520457432,2.6878756564462964
8,-1136,306.6713124899101,335.84614970672123,-4.310543450629837,-1.9213658687515363,4.719367716269958
9,-1135,307.6206782646994,336.6110438229465,-3.3611776758405654,-1.1564717525262722,3.55456639872716
10,-1134,307.9874472400373,337.1535383434742,-2.9944087005026745,-0.6139772319985468,3.0567059896330746
11,-1133,308.08732116428223,337.39680973524094,-2.8945347762577285,-0.3707058402318353,2.9181765523948973
12,-1132,308.7864004317323,335.8588235294118,-2.1954555088076404,-1.9086920460609917,2.9091459602175878
13,-1131,309.38596787827555,337.6532544378698,-1.5958880622644074,-0.1142611376029663,1.5999732231648032
14,-1130,309.104634342352,334.7346370211626,-1.8772215981879299,-3.032878554310173,3.5668351873751902
15,-1129,310.4382706164932,333.33536162263147,-0.5435853240467736,-4.432153952841304,4.465363777589216
16,-1128,308.8275241021295,333.5582159127026,-2.154331838410485,-4.2092996627701496,4.728567364539285
17,-1127,309.61594985952024,333.3334233844824,-1.3659060810197161,-4.434092190990384,4.639706130819984
18,-1126,310.20951399622186,334.4554353426069,-0.7723419443181001,-3.312080232865867,3.400939215554121
19,-1125,309.6315934672258,333.5526373868903,-1.3502624733141602,-4.214878188582475,4.425879222417706
20,-1124,309.2829370091713,332.6183755285848,-1.6989189313686666,-5.149140046887965,5.422173803727453
21,-1123,310.7415634100382,333.9681379546622,-0.24029253050173338,-3.79937762081056,3.8069687161481953
22,-1122,310.1978800527241,333.3115114235501,-0.7839758878158705,-4.456004151922684,4.524443744221922
23,-1121,309.52948711106364,332.5845119282703,-1.4523688294763133,-5.183003647202497,5.382648235185798
24,-1120,310.87918133802816,333.8785211267606,-0.10267460251179727,-3.8889944487121966,3.8903495853348753
25,-1119,310.39786324786326,333.05646367521365,-0.5839926926767021,-4.711051900259122,4.747110433941354
26,-1118,309.88199458483757,334.350857400722,-1.0998613557023873,-3.4166581747507507,3.5893241821906563
27,-1117,310.15161083163866,334.54302686503263,-0.8302451089012948,-3.2244887104401414,3.329659800131306
28,-1116,310.31442409397096,338.1371151812058,-0.6674318465690021,0.36959960573301487,0.762934557070597
29,-1115,309.523996811055,335.9742758437417,-1.457859129484973,-1.7932397317310915,2.3110737714062006
30,-1114,310.95664398582915,337.56840803014114,-0.02521195471081228,-0.19910754533162844,0.2006974271592103
31,-1113,308.3339016463317,338.0426234748788,-2.6479542942082617,0.27510789940600944,2.662207035625058
32,-1112,308.67383839467755,337.71740530099794,-2.3080175458624126,-0.050110274474832295,2.3085614636861407
33,-1111,309.27576966932725,339.4305017103763,-1.7060862712127118,1.6629861349035195,2.382488877141264
34,-1110,308.12503531272955,340.4115486750664,-2.856820627810407,2.644033099593628,3.892600047684033
35,-1109,308.8409521803244,336.7842848114599,-2.140903760215565,-0.9832307640128874,2.355888716770491
36,-1108,308.7522619560534,338.489228780698,-2.2295939844865416,0.7217132052252282,2.3434929669736677
37,-1107,309.0292238991577,340.2108981968232,-1.9526320413822305,2.4433826213504517,3.127761263803544
38,-1106,308.3943324250681,339.2427792915531,-2.587523515471844,1.4752637160803488,2.978536717098342
39,-1105,308.160114948761,338.96155723038555,-2.8217409917789382,1.1940416549127804,3.0639774311101635
40,-1104,307.552308721838,338.78334820432747,-3.4295472187019413,1.015832628854696,3.5768296094659116
41,-1103,305.3583808627277,339.0360485076693,-5.623475077812259,1.2685329321965355,5.764776470154132
42,-1102,304.3271087872806,336.9238115563144,-6.654747153259336,-0.8437040191583947,6.708017303626853
43,-1101,305.47189459754907,339.06927104309307,-5.509961342990891,1.3017554676202963,5.661646518348998
44,-1100,304.07668000842637,336.3969875710975,-6.905175932113593,-1.3705280043752737,7.039872276129568
45,-1099,303.4088193456614,338.04466571834996,-7.573036594878545,0.27715014287718986,7.578106324740137
46,-1098,302.5522077645051,336.06452645051195,-8.429648176034846,-1.7029891249608227,8.599950019125835
47,-1097,302.8105384393896,336.843996544774,-8.171317501150384,-0.9235190306987988,8.223339778014125
48,-1096,302.6046921154283,336.95944103612817,-8.377163825111666,-0.8080745393446023,8.416047659911184
49,-1095,301.2559485872105,334.3881453154876,-9.725907353329433,-3.379370259985194,10.296281717184117
50,-1094,303.335530726257,333.50675977653634,-7.646325214282967,-4.2607557989364295,8.753303905426218
51,-1093,303.0768663489903,336.3616972997504,-7.904989591549679,-1.4058182757223676,8.02902145138894
52,-1092,303.9098531375167,333.09351134846463,-7.072002803023281,-4.67400422700814,8.477000599272074
53,-1091,305.38628834028,331.91167040718176,-5.595567600259983,-5.855845168291012,8.099462908370928
54,-1090,305.3963737497994,333.6208482644274,-5.585482190740549,-4.1466673110453485,6.956469010322112
55,-1089,307.03367301727957,336.49385245901635,-3.94818292326039,-1.2736631164564187,4.14853783033811
56,-1088,307.2995915169828,336.780426389122,-3.6822644235571715,-0.9870891863507723,3.812271809145494
57,-1087,307.21076721883173,334.6837401918047,-3.7710887217082245,-3.083775383668069,4.871424921305071
58,-1086,310.00849971477464,337.3996006845408,-0.9733562257653148,-0.3679148909319565,1.0405689353452618
59,-1085,309.57012316249507,337.18366536125774,-1.4117327780448932,-0.5838502142150332,1.5277010536244622
60,-1084,308.47420747642315,337.02283831382795,-2.507648464116812,-0.7446772616448243,2.615883224381058
61,-1083,309.12996655897524,336.4528141472539,-1.8518893815647175,-1.314701428218882,2.2711085678392657
62,-1082,309.7738755723135,334.676003231888,-1.2079803682264583,-3.0915123435847818,3.3191362039780166
63,-1081,308.4485862543683,334.0886900349465,-2.53326968617165,-3.6788255405262476,4.466678034121605
