frame_index,actual_frame_number,centroid_x,centroid_y,displacement_x,displacement_y,displacement_magnitude
0,-2450,316.2084499603908,335.93826247689464,0.0,0.0,0.0
1,-2449,318.1776059564719,336.7781786941581,1.9691559960810991,0.8399162172634647,2.140802323645113
2,-2448,318.0433016848691,333.7387080840788,1.8348517244783125,-2.1995543928158554,2.8643883077852004
3,-2447,317.5184075100379,335.331335180682,1.3099575496470948,-0.606927296212632,1.4437276490963926
4,-2446,316.96183247788576,332.9138910123403,0.7533825174949698,-3.024371464554349,3.1167945028951904
5,-2445,316.2126421000604,333.0817727497391,0.004192139669612516,-2.8564897271555196,2.856492803313186
6,-2444,315.4688962051638,334.44602321954596,-0.7395537552270071,-1.4922392573486718,1.6654482153591217
7,-2443,315.53785760378577,331.08862120886215,-0.6705923566050274,-4.849641268032485,4.895785385139019
8,-2442,313.7256038647343,331.7565754159957,-2.482846095656498,-4.181687060898923,4.863232609078676
9,-2441,314.59142612174907,334.6336096027436,-1.6170238386417282,-1.3046528741510315,2.077711533578754
10,-2440,316.2484684585242,333.77896131133065,0.04001849813340641,-2.1593011655639884,2.159671966711346
11,-2439,315.7818884594147,333.5709000552181,-0.42656150097610634,-2.367362421676546,2.405485304399349
12,-2438,317.77738927738926,335.49440559440563,1.568939316998467,-0.44385688248900124,1.6305151065097407
13,-2437,318.46942779869545,331.19276661186825,2.2609778383046546,-4.745495865026385,5.256591270993713
14,-2436,317.54373110025585,335.4690044196325,1.3352811398650601,-0.4692580572621523,1.4153370082015038
15,-2435,316.70326376554175,333.87816385435167,0.4948138051509545,-2.0600986225429665,2.1186899339854794
16,-2434,318.0119005950297,334.10337183525843,1.8034506346389207,-1.834890641636207,2.5727918412385518
17,-2433,317.70645074224024,331.76663967611336,1.4980007818494414,-4.171622800781279,4.432430838086454
18,-2432,320.73554321610857,331.12081440349993,4.527093255717773,-4.817448073394701,6.610777509931768
19,-2431,318.9109610886668,330.1797788645546,2.702511128276001,-5.758483612340058,6.361108387069397
20,-2430,320.918665393473,331.8627759366399,4.710215433082226,-4.075486540254758,6.228621032447204
21,-2429,319.75958305312713,332.12749383546293,3.551133092736336,-3.8107686414317072,5.208887009798388
22,-2428,319.1401578303879,331.7728131599422,2.931707869997126,-4.165449316952447,5.093709752930834
23,-2427,317.784738292011,332.6890909090909,1.5762883316202192,-3.249171567803728,3.6113433485929014
24,-2426,315.9552457415645,333.12672236085496,-0.2532042188262835,-2.81154011603968,2.8229187378548195
25,-2425,315.4321426675866,332.2294464200414,-0.7763072928041765,-3.708816056853209,3.7891911480463922
26,-2424,314.53809574695447,332.24829023295575,-1.670354213436326,-3.6899722439388825,4.050429404320465
27,-2423,315.62594594594594,332.35454054054054,-0.5825040144448508,-3.5837219363540953,3.6307538947097355
28,-2422,315.78454345138925,332.7035524265061,-0.42390650900154014,-3.2347100503885144,3.262368133497251
29,-2421,317.74684772065956,334.7018314600331,1.538397760268765,-1.2364310168615589,1.9736842017549974
30,-2420,316.9510556621881,334.6212035677995,0.742605701797288,-1.317058909095124,1.5119878962374933
31,-2419,318.4434662706831,332.3512409843021,2.2350163102922807,-3.587021492592555,4.226348435185325
32,-2418,320.1450125733445,334.33294216261527,3.9365626129537077,-1.6053203142793677,4.251303155168181
33,-2417,321.1700115467092,333.4070489910375,4.961561586318396,-2.5312134858571085,5.569931335825893
34,-2416,320.8725763347927,334.5597884801274,4.664126374401917,-1.3784739967672408,4.863565091181059
35,-2415,319.5272944387581,335.085238257705,3.318844478367282,-0.8530242191896491,3.4267154813484453
36,-2414,318.46908182386005,334.6979160751803,2.260631863469257,-1.240346401714362,2.5785491304953356
37,-2413,315.8283967534521,333.29313797828604,-0.38005320693866906,-2.6451244986085953,2.6722881680768897
38,-2412,315.56460918789463,334.6327019377313,-0.6438407724961621,-1.3055605391633094,1.4556851519984828
39,-2411,315.6652340019102,333.21134458240476,-0.5432159584805731,-2.7269178944898727,2.780497218275366
40,-2410,314.42800677583284,336.12987012987014,-1.780443184557953,0.19160765297550597,1.7907237157411098
41,-2409,313.99335211267606,336.15549295774645,-2.2150978477147305,0.21723048085181063,2.225724052249411
42,-2408,314.0469844614169,333.4372399262576,-2.1614654989738824,-2.5010225506370602,3.3056084011947817
43,-2407,316.0573593073593,335.7205513784461,-0.15109065303147418,-0.21771109844854664,0.2650028449302952
44,-2406,316.8680428832117,335.45215556569343,0.6595929228208774,-0.48610691120120464,0.8193672881882482
45,-2405,317.069635894338,333.7814816848811,0.8611859339471835,-2.156780792013535,2.3223575516330413
46,-2404,318.47425519955027,334.35261382799325,2.2658052391594765,-1.5856486489013832,2.765529790033966
47,-2403,316.8192701191857,332.26822065183,0.6108201587949225,-3.6700418250646294,3.720525267232299
48,-2402,318.06152041795497,331.91651562000214,1.853070457564172,-4.0217468568924915,4.428128035820749
49,-2401,319.9182727632397,332.9623014751597,3.709822802848919,-2.9759610017349587,4.75595722356553
50,-2400,316.30804488699226,331.314999209736,0.09959492660146907,-4.62326326715862,4.624335886034118
51,-2399,316.5473461183245,332.03580159721844,0.33889615793373196,-3.902460879676198,3.917148391785199
52,-2398,316.965020692783,333.41368558308295,0.7565707323922197,-2.524576893811684,2.63550522023394
53,-2397,315.77796308650215,333.03413386702243,-0.4304868738886398,-2.9041286098722026,2.9358613610435804
54,-2396,315.0331679430482,332.6834214216374,-1.1752820173425675,-3.254841055257259,3.4605314787293877
55,-2395,314.08049306975687,334.63224267212,-2.127956890633925,-1.3060198047746212,2.4967755723853
